#,Pokemon,XP,HP,ATK,DEF,SPA,SPD,SPE,Total EVs,BST,Type 1,Type 2,Weight,Base Friendship
35,Clefairy,68,2,0,0,0,0,0,2,323,Normal,,75,140
36,Clefable,129,3,0,0,0,0,0,3,473,Normal,,400,140
37,Vulpix,63,0,0,0,0,0,1,1,299,Fire,,99,70
38,Ninetales,178,0,0,0,0,1,1,2,505,Fire,,199,70
39,Jigglypuff,76,2,0,0,0,0,0,2,270,Normal,,55,70
40,Wigglytuff,109,3,0,0,0,0,0,3,425,Normal,,120,70
41,Zubat,54,0,0,0,0,0,1,1,245,Poison,Flying,75,70
42,Golbat,171,0,0,0,0,0,2,2,455,Poison,Flying,550,70
43,Oddish,78,0,0,0,1,0,0,1,320,Grass,Poison,54,70
44,Gloom,132,0,0,0,2,0,0,2,395,Grass,Poison,86,70
45,Vileplume,184,0,0,0,3,0,0,3,480,Grass,Poison,186,70
46,Paras,70,0,1,0,0,0,0,1,285,Bug,Grass,54,70
47,Parasect,128,0,2,1,0,0,0,3,405,Bug,Grass,295,70
48,Venonat,75,0,0,0,0,1,0,1,305,Bug,Poison,300,70
49,Venomoth,138,0,0,0,1,0,1,2,450,Bug,Poison,125,70
50,Diglett,81,0,0,0,0,0,1,1,265,Ground,,8,70
51,Dugtrio,153,0,0,0,0,0,2,2,405,Ground,,333,70
52,Meowth,69,0,0,0,0,0,1,1,290,Normal,,42,70
53,Persian,148,0,0,0,0,0,2,2,440,Normal,,320,70
54,Psyduck,80,0,0,0,1,0,0,1,320,Water,,196,70
55,Golduck,174,0,0,0,2,0,0,2,500,Water,,766,70
56,Mankey,74,0,1,0,0,0,0,1,305,Fighting,,280,70
57,Primeape,149,0,2,0,0,0,0,2,455,Fighting,,320,70
58,Growlithe,91,0,1,0,0,0,0,1,350,Fire,,190,70
59,Arcanine,213,0,2,0,0,0,0,2,555,Fire,,1550,70
60,Poliwag,77,0,0,0,0,0,1,1,300,Water,,124,70
61,Poliwhirl,131,0,0,0,0,0,2,2,385,Water,,200,70
62,Poliwrath,185,0,0,3,0,0,0,3,500,Water,Fighting,540,70
63,Abra,73,0,0,0,1,0,0,1,310,Psychic,,195,70
64,Kadabra,145,0,0,0,2,0,0,2,400,Psychic,,565,70
65,Alakazam,186,0,0,0,3,0,0,3,490,Psychic,,480,70
66,Machop,88,0,1,0,0,0,0,1,305,Fighting,,195,70
67,Machoke,146,0,2,0,0,0,0,2,405,Fighting,,705,70
68,Machamp,193,0,3,0,0,0,0,3,505,Fighting,,1300,70
69,Bellsprout,84,0,1,0,0,0,0,1,300,Grass,Poison,40,70
70,Weepinbell,151,0,2,0,0,0,0,2,390,Grass,Poison,64,70
71,Victreebel,191,0,3,0,0,0,0,3,480,Grass,Poison,155,70
72,Tentacool,105,0,0,0,0,1,0,1,335,Water,Poison,455,70
73,Tentacruel,205,0,0,0,0,2,0,2,515,Water,Poison,550,70
74,Geodude,86,0,0,1,0,0,0,1,300,Rock,Ground,200,70
75,Graveler,134,0,0,2,0,0,0,2,390,Rock,Ground,1050,70
76,Golem,177,0,0,3,0,0,0,3,485,Rock,Ground,3000,70
77,Ponyta,152,0,0,0,0,0,1,1,410,Fire,,300,70
78,Rapidash,192,0,0,0,0,0,2,2,500,Fire,,950,70
79,Slowpoke,99,1,0,0,0,0,0,1,315,Water,Psychic,360,70
80,Slowbro,164,0,0,2,0,0,0,2,490,Water,Psychic,785,70
81,Magnemite,89,0,0,0,1,0,0,1,325,Electric,Steel,60,70
82,Magneton,161,0,0,0,2,0,0,2,465,Electric,Steel,600,70
83,Farfetch'd,94,0,1,0,0,0,0,1,352,Normal,Flying,150,70
84,Doduo,96,0,1,0,0,0,0,1,310,Normal,Flying,392,70
85,Dodrio,158,0,2,0,0,0,0,2,460,Normal,Flying,852,70
86,Seel,100,0,0,0,0,1,0,1,325,Water,,900,70
87,Dewgong,176,0,0,0,0,2,0,2,475,Water,Ice,1200,70
88,Grimer,90,1,0,0,0,0,0,1,325,Poison,,300,70
89,Muk,157,1,1,0,0,0,0,2,500,Poison,,300,70
90,Shellder,97,0,0,1,0,0,0,1,305,Water,,40,70
91,Cloyster,203,0,0,2,0,0,0,2,525,Water,Ice,1325,70
92,Gastly,95,0,0,0,1,0,0,1,310,Ghost,Poison,1,70
93,Haunter,126,0,0,0,2,0,0,2,405,Ghost,Poison,1,70
94,Gengar,190,0,0,0,3,0,0,3,500,Ghost,Poison,405,70
95,Onix,108,0,0,1,0,0,0,1,385,Rock,Ground,2100,70
96,Drowzee,102,0,0,0,0,1,0,1,328,Psychic,,324,70
97,Hypno,165,0,0,0,0,2,0,2,483,Psychic,,756,70
98,Krabby,115,0,1,0,0,0,0,1,325,Water,,65,70
99,Kingler,206,0,2,0,0,0,0,2,475,Water,,600,70
100,Voltorb,103,0,0,0,0,0,1,1,330,Electric,,104,70
101,Electrode,150,0,0,0,0,0,2,2,480,Electric,,666,70
102,Exeggcute,98,0,0,1,0,0,0,1,325,Grass,Psychic,25,70
103,Exeggutor,212,0,0,0,2,0,0,2,520,Grass,Psychic,1200,70
104,Cubone,87,0,0,1,0,0,0,1,320,Ground,,65,70
105,Marowak,124,0,0,2,0,0,0,2,425,Ground,,450,70
106,Hitmonlee,139,0,2,0,0,0,0,2,455,Fighting,,498,70
107,Hitmonchan,140,0,0,0,0,2,0,2,455,Fighting,,502,70
108,Lickitung,127,2,0,0,0,0,0,2,385,Normal,,655,70
109,Koffing,114,0,0,1,0,0,0,1,340,Poison,,10,70
110,Weezing,173,0,0,2,0,0,0,2,490,Poison,,95,70
111,Rhyhorn,135,0,0,1,0,0,0,1,345,Ground,Rock,1150,70
112,Rhydon,204,0,2,0,0,0,0,2,485,Ground,Rock,1200,70
113,Chansey,255,2,0,0,0,0,0,2,450,Normal,,346,140
114,Tangela,166,0,0,1,0,0,0,1,435,Grass,,350,70
115,Kangaskhan,175,2,0,0,0,0,0,2,490,Normal,,800,70
116,Horsea,83,0,0,0,1,0,0,1,295,Water,,80,70
117,Seadra,155,0,0,1,1,0,0,2,440,Water,,250,70
118,Goldeen,111,0,1,0,0,0,0,1,320,Water,,150,70
119,Seaking,170,0,2,0,0,0,0,2,450,Water,,390,70
120,Staryu,106,0,0,0,0,0,1,1,340,Water,,345,70
121,Starmie,207,0,0,0,0,0,2,2,520,Water,Psychic,800,70
122,Mr. Mime,136,0,0,0,0,2,0,2,460,Psychic,,545,70
123,Scyther,187,0,1,0,0,0,0,1,500,Bug,Flying,560,70
124,Jynx,137,0,0,0,2,0,0,2,455,Ice,Psychic,406,70
125,Electabuzz,156,0,0,0,0,0,2,2,490,Electric,,300,70
126,Magmar,167,0,0,0,2,0,0,2,495,Fire,,445,70
127,Pinsir,200,0,2,0,0,0,0,2,500,Bug,,550,70
128,Tauros,211,0,1,0,0,0,1,2,490,Normal,,884,70
129,Magikarp,20,0,0,0,0,0,1,1,200,Water,,100,70
130,Gyarados,214,0,2,0,0,0,0,2,540,Water,Flying,2350,70
131,Lapras,219,2,0,0,0,0,0,2,535,Water,Ice,2200,70
132,Ditto,61,1,0,0,0,0,0,1,288,Normal,,40,70
133,Eevee,92,0,0,0,0,1,0,1,325,Normal,,65,70
134,Vaporeon,196,2,0,0,0,0,0,2,525,Water,,290,70
135,Jolteon,197,0,0,0,0,0,2,2,525,Electric,,245,70
136,Flareon,198,0,2,0,0,0,0,2,525,Fire,,250,70
137,Porygon,130,0,0,0,1,0,0,1,395,Normal,,365,70
138,Omanyte,120,0,0,1,0,0,0,1,355,Rock,Water,75,70
139,Omastar,199,0,0,2,0,0,0,2,495,Rock,Water,350,70
140,Kabuto,119,0,0,1,0,0,0,1,355,Rock,Water,115,70
141,Kabutops,201,0,2,0,0,0,0,2,495,Rock,Water,405,70
142,Aerodactyl,202,0,0,0,0,0,2,2,515,Rock,Flying,590,70
143,Snorlax,154,2,0,0,0,0,0,2,540,Normal,,4600,70
144,Articuno,215,0,0,0,0,3,0,3,580,Ice,Flying,554,35
145,Zapdos,216,0,0,0,3,0,0,3,580,Electric,Flying,526,35
146,Moltres,217,0,0,0,3,0,0,3,580,Fire,Flying,600,35
147,Dratini,67,0,1,0,0,0,0,1,300,Dragon,,33,35
148,Dragonair,144,0,2,0,0,0,0,2,420,Dragon,,165,35
149,Dragonite,218,0,3,0,0,0,0,3,600,Dragon,Flying,2100,35
150,Mewtwo,220,0,0,0,3,0,0,3,680,Psychic,,1220,0
151,Mew,64,3,0,0,0,0,0,3,600,Psychic,,40,100
152,Chikorita,64,0,0,0,0,1,0,1,318,Grass,,64,70
153,Bayleef,141,0,0,1,0,1,0,2,405,Grass,,158,70
154,Meganium,208,0,0,1,0,2,0,3,525,Grass,,1005,70
155,Cyndaquil,65,0,0,0,0,0,1,1,309,Fire,,79,70
156,Quilava,142,0,0,0,1,0,1,2,405,Fire,,190,70
157,Typhlosion,209,0,0,0,3,0,0,3,534,Fire,,795,70
158,Totodile,66,0,1,0,0,0,0,1,314,Water,,95,70
159,Croconaw,143,0,1,1,0,0,0,2,405,Water,,250,70
160,Feraligatr,210,0,2,1,0,0,0,3,530,Water,,888,70
161,Sentret,57,0,1,0,0,0,0,1,215,Normal,,60,70
162,Furret,116,0,0,0,0,0,2,2,415,Normal,,325,70
163,Hoothoot,58,1,0,0,0,0,0,1,262,Normal,Flying,212,70
164,Noctowl,162,2,0,0,0,0,0,2,442,Normal,Flying,408,70
165,Ledyba,54,0,0,0,0,1,0,1,265,Bug,Flying,108,70
166,Ledian,134,0,0,0,0,2,0,2,390,Bug,Flying,356,70
167,Spinarak,54,0,1,0,0,0,0,1,250,Bug,Poison,85,70
168,Ariados,134,0,2,0,0,0,0,2,390,Bug,Poison,335,70
169,Crobat,204,0,0,0,0,0,3,3,535,Poison,Flying,750,70
170,Chinchou,90,1,0,0,0,0,0,1,330,Water,Electric,120,70
171,Lanturn,156,2,0,0,0,0,0,2,460,Water,Electric,225,70
172,Pichu,42,0,0,0,0,0,1,1,205,Electric,,20,70
173,Cleffa,37,0,0,0,0,1,0,1,218,Normal,,30,140
174,Igglybuff,39,1,0,0,0,0,0,1,210,Normal,,10,70
175,Togepi,74,0,0,0,0,1,0,1,245,Normal,,15,70
176,Togetic,114,0,0,0,0,2,0,2,405,Normal,Flying,32,70
177,Natu,73,0,0,0,1,0,0,1,320,Psychic,Flying,20,70
178,Xatu,171,0,0,0,1,0,1,2,470,Psychic,Flying,150,70
179,Mareep,59,0,0,0,1,0,0,1,280,Electric,,78,70
180,Flaaffy,117,0,0,0,2,0,0,2,365,Electric,,133,70
181,Ampharos,194,0,0,0,3,0,0,3,500,Electric,,615,70
182,Bellossom,184,0,0,0,0,3,0,3,480,Grass,,58,70
183,Marill,58,2,0,0,0,0,0,2,250,Water,,85,70
184,Azumarill,153,3,0,0,0,0,0,3,410,Water,,285,70
185,Sudowoodo,135,0,0,2,0,0,0,2,410,Rock,,380,70
186,Politoed,185,0,0,0,0,3,0,3,500,Water,,339,70
187,Hoppip,74,0,0,0,0,1,0,1,250,Grass,Flying,5,70
188,Skiploom,136,0,0,0,0,0,2,2,340,Grass,Flying,10,70
189,Jumpluff,176,0,0,0,0,0,3,3,450,Grass,Flying,30,70
190,Aipom,94,0,0,0,0,0,1,1,360,Normal,,115,70
191,Sunkern,52,0,0,0,1,0,0,1,180,Grass,,18,70
192,Sunflora,146,0,0,0,2,0,0,2,425,Grass,,85,70
193,Yanma,147,0,0,0,0,0,2,2,390,Bug,Flying,380,70
194,Wooper,52,1,0,0,0,0,0,1,210,Water,Ground,85,70
195,Quagsire,137,2,0,0,0,0,0,2,430,Water,Ground,750,70
196,Espeon,197,0,0,0,2,0,0,2,525,Psychic,,265,70
197,Umbreon,197,0,0,0,0,2,0,2,525,Dark,,270,35
198,Murkrow,107,0,0,0,0,0,1,1,405,Dark,Flying,21,35
199,Slowking,164,0,0,0,0,3,0,3,490,Water,Psychic,795,70
200,Misdreavus,147,0,0,0,1,1,0,2,435,Ghost,,10,35
201,Unown,61,0,1,0,1,0,0,2,336,Psychic,,50,70
202,Wobbuffet,177,2,0,0,0,0,0,2,405,Psychic,,285,70
203,Girafarig,149,0,0,0,2,0,0,2,455,Normal,Psychic,415,70
204,Pineco,60,0,0,1,0,0,0,1,290,Bug,,72,70
205,Forretress,118,0,0,2,0,0,0,2,465,Bug,Steel,1258,70
206,Dunsparce,75,1,0,0,0,0,0,1,415,Normal,,140,70
207,Gligar,108,0,0,1,0,0,0,1,430,Ground,Flying,648,70
208,Steelix,196,0,0,2,0,0,0,2,510,Steel,Ground,4000,70
209,Snubbull,63,0,1,0,0,0,0,1,300,Normal,,78,70
210,Granbull,178,0,2,0,0,0,0,2,450,Normal,,487,70
211,Qwilfish,100,0,1,0,0,0,0,1,430,Water,Poison,39,70
212,Scizor,200,0,2,0,0,0,0,2,500,Bug,Steel,1180,70
213,Shuckle,80,0,0,1,0,1,0,2,505,Bug,Rock,205,70
214,Heracross,200,0,2,0,0,0,0,2,500,Bug,Fighting,540,70
215,Sneasel,132,0,0,0,0,0,1,1,430,Dark,Ice,280,35
216,Teddiursa,124,0,1,0,0,0,0,1,330,Normal,,88,70
217,Ursaring,189,0,2,0,0,0,0,2,500,Normal,,1258,70
218,Slugma,78,0,0,0,1,0,0,1,250,Fire,,350,70
219,Magcargo,154,0,0,2,0,0,0,2,410,Fire,Rock,550,70
220,Swinub,78,0,1,0,0,0,0,1,250,Ice,Ground,65,70
221,Piloswine,160,1,1,0,0,0,0,2,450,Ice,Ground,558,70
222,Corsola,113,0,0,1,0,1,0,2,380,Water,Rock,50,70
223,Remoraid,78,0,0,0,1,0,0,1,300,Water,,120,70
224,Octillery,164,0,1,0,1,0,0,2,480,Water,,285,70
225,Delibird,183,0,0,0,0,0,1,1,330,Ice,Flying,160,70
226,Mantine,168,0,0,0,0,2,0,2,465,Water,Flying,2200,70
227,Skarmory,168,0,0,2,0,0,0,2,465,Steel,Flying,505,70
228,Houndour,114,0,0,0,1,0,0,1,330,Dark,Fire,108,35
229,Houndoom,204,0,0,0,2,0,0,2,500,Dark,Fire,350,35
230,Kingdra,207,0,1,0,1,1,0,3,540,Water,Dragon,1520,70
231,Phanpy,124,1,0,0,0,0,0,1,330,Ground,,335,70
232,Donphan,189,0,1,1,0,0,0,2,500,Ground,,1200,70
233,Porygon2,180,0,0,0,2,0,0,2,515,Normal,,325,70
234,Stantler,165,0,1,0,0,0,0,1,465,Normal,,712,70
235,Smeargle,106,0,0,0,0,0,1,1,250,Normal,,580,70
236,Tyrogue,91,0,1,0,0,0,0,1,210,Fighting,,210,70
237,Hitmontop,138,0,0,0,0,2,0,2,455,Fighting,,480,70
238,Smoochum,87,0,0,0,1,0,0,1,305,Ice,Psychic,60,70
239,Elekid,106,0,0,0,0,0,1,1,360,Electric,,235,70
240,Magby,117,0,0,0,0,0,1,1,365,Fire,,214,70
241,Miltank,200,0,0,2,0,0,0,2,490,Normal,,755,70
242,Blissey,255,2,0,0,0,0,0,2,540,Normal,,468,140
243,Raikou,216,0,0,0,1,0,2,3,580,Electric,,1780,35
244,Entei,217,1,2,0,0,0,0,3,580,Fire,,1980,35
245,Suicune,215,0,0,1,0,2,0,3,580,Water,,1870,35
246,Larvitar,67,0,1,0,0,0,0,1,300,Rock,Ground,720,35
247,Pupitar,144,0,2,0,0,0,0,2,410,Rock,Ground,1520,35
248,Tyranitar,218,0,3,0,0,0,0,3,600,Rock,Dark,2020,35
249,Lugia,220,0,0,0,0,3,0,3,680,Psychic,Flying,2160,0
250,Ho-Oh,220,0,0,0,0,3,0,3,680,Fire,Flying,1990,0
251,Celebi,64,3,0,0,0,0,0,3,600,Psychic,Grass,50,100
252,Treecko,65,0,0,0,0,0,1,1,310,Grass,,50,70
253,Grovyle,141,0,0,0,0,0,2,2,405,Grass,,216,70
254,Sceptile,208,0,0,0,0,0,3,3,530,Grass,,522,70
255,Torchic,65,0,0,0,1,0,0,1,310,Fire,,25,70
256,Combusken,142,0,1,0,1,0,0,2,405,Fire,Fighting,195,70
257,Blaziken,209,0,3,0,0,0,0,3,530,Fire,Fighting,520,70
258,Mudkip,65,0,1,0,0,0,0,1,310,Water,,76,70
259,Marshtomp,143,0,2,0,0,0,0,2,405,Water,Ground,280,70
260,Swampert,210,0,3,0,0,0,0,3,535,Water,Ground,819,70
261,Poochyena,55,0,1,0,0,0,0,1,220,Dark,,136,70
262,Mightyena,128,0,2,0,0,0,0,2,420,Dark,,370,70
263,Zigzagoon,60,0,0,0,0,0,1,1,240,Normal,,175,70
264,Linoone,128,0,0,0,0,0,2,2,420,Normal,,325,70
265,Wurmple,54,1,0,0,0,0,0,1,195,Bug,,36,70
266,Silcoon,71,0,0,2,0,0,0,2,205,Bug,,100,70
267,Beautifly,161,0,0,0,3,0,0,3,385,Bug,Flying,284,70
268,Cascoon,72,0,0,2,0,0,0,2,205,Bug,,115,70
269,Dustox,160,0,0,0,0,3,0,3,385,Bug,Poison,316,70
270,Lotad,74,0,0,0,0,1,0,1,220,Water,Grass,26,70
271,Lombre,141,0,0,0,0,2,0,2,340,Water,Grass,325,70
272,Ludicolo,181,0,0,0,0,3,0,3,480,Water,Grass,550,70
273,Seedot,74,0,0,1,0,0,0,1,220,Grass,,40,70
274,Nuzleaf,141,0,2,0,0,0,0,2,340,Grass,Dark,280,70
275,Shiftry,181,0,3,0,0,0,0,3,480,Grass,Dark,596,70
276,Taillow,59,0,0,0,0,0,1,1,270,Normal,Flying,23,70
277,Swellow,162,0,0,0,0,0,2,2,430,Normal,Flying,198,70
278,Wingull,64,0,0,0,0,0,1,1,270,Water,Flying,95,70
279,Pelipper,164,0,0,2,0,0,0,2,430,Water,Flying,280,70
280,Ralts,70,0,0,0,1,0,0,1,198,Psychic,,66,35
281,Kirlia,140,0,0,0,2,0,0,2,278,Psychic,,202,35
282,Gardevoir,208,0,0,0,3,0,0,3,518,Psychic,,484,35
283,Surskit,63,0,0,0,0,0,1,1,269,Bug,Water,17,70
284,Masquerain,128,0,0,0,1,1,0,2,414,Bug,Flying,36,70
285,Shroomish,65,1,0,0,0,0,0,1,295,Grass,,45,70
286,Breloom,165,0,2,0,0,0,0,2,460,Grass,Fighting,392,70
287,Slakoth,83,1,0,0,0,0,0,1,280,Normal,,240,70
288,Vigoroth,126,0,0,0,0,0,2,2,440,Normal,,465,70
289,Slaking,210,3,0,0,0,0,0,3,670,Normal,,1305,70
290,Nincada,65,0,0,1,0,0,0,1,266,Bug,Ground,55,70
291,Ninjask,155,0,0,0,0,0,2,2,456,Bug,Flying,120,70
292,Shedinja,95,2,0,0,0,0,0,2,236,Bug,Ghost,12,70
293,Whismur,68,1,0,0,0,0,0,1,240,Normal,,163,70
294,Loudred,126,2,0,0,0,0,0,2,360,Normal,,405,70
295,Exploud,184,3,0,0,0,0,0,3,480,Normal,,840,70
296,Makuhita,87,1,0,0,0,0,0,1,237,Fighting,,864,70
297,Hariyama,184,2,0,0,0,0,0,2,474,Fighting,,2538,70
298,Azurill,33,1,0,0,0,0,0,1,190,Normal,,20,70
299,Nosepass,108,0,0,1,0,0,0,1,375,Rock,,970,70
300,Skitty,65,0,0,0,0,0,1,1,260,Normal,,110,70
301,Delcatty,138,1,0,0,0,0,1,2,380,Normal,,326,70
302,Sableye,98,0,1,1,0,0,0,2,380,Dark,Ghost,110,35
303,Mawile,98,0,1,1,0,0,0,2,380,Steel,,115,70
304,Aron,96,0,0,1,0,0,0,1,330,Steel,Rock,600,35
305,Lairon,152,0,0,2,0,0,0,2,430,Steel,Rock,1200,35
306,Aggron,205,0,0,3,0,0,0,3,530,Steel,Rock,3600,35
307,Meditite,91,0,0,0,0,0,1,1,280,Fighting,Psychic,112,70
308,Medicham,153,0,0,0,0,0,2,2,410,Fighting,Psychic,315,70
309,Electrike,104,0,0,0,0,0,1,1,295,Electric,,152,70
310,Manectric,168,0,0,0,0,0,2,2,475,Electric,,402,70
311,Plusle,120,0,0,0,0,0,1,1,405,Electric,,42,70
312,Minun,120,0,0,0,0,0,1,1,405,Electric,,42,70
313,Volbeat,146,0,0,0,0,0,1,1,400,Bug,,177,70
314,Illumise,146,0,0,0,0,0,1,1,400,Bug,,177,70
315,Roselia,152,0,0,0,1,0,0,1,400,Grass,Poison,20,70
316,Gulpin,75,1,0,0,0,0,0,1,302,Poison,,103,70
317,Swalot,168,2,0,0,0,0,0,2,467,Poison,,800,70
318,Carvanha,88,0,1,0,0,0,0,1,305,Water,Dark,208,35
319,Sharpedo,175,0,2,0,0,0,0,2,460,Water,Dark,888,35
320,Wailmer,137,1,0,0,0,0,0,1,400,Water,,1300,70
321,Wailord,206,2,0,0,0,0,0,2,500,Water,,3980,70
322,Numel,88,0,0,0,1,0,0,1,305,Fire,Ground,240,70
323,Camerupt,175,0,1,0,1,0,0,2,460,Fire,Ground,2200,70
324,Torkoal,161,0,0,2,0,0,0,2,470,Fire,,804,70
325,Spoink,89,0,0,0,0,1,0,1,330,Psychic,,306,70
326,Grumpig,164,0,0,0,0,2,0,2,470,Psychic,,715,70
327,Spinda,85,0,0,0,1,0,0,1,360,Normal,,50,70
328,Trapinch,73,0,1,0,0,0,0,1,290,Ground,,150,70
329,Vibrava,126,0,1,0,0,0,1,2,340,Ground,Dragon,153,70
330,Flygon,197,0,1,0,0,0,2,3,520,Ground,Dragon,820,70
331,Cacnea,97,0,0,0,1,0,0,1,335,Grass,,513,35
332,Cacturne,177,0,1,0,1,0,0,2,475,Grass,Dark,774,35
333,Swablu,74,0,0,0,0,1,0,1,310,Normal,Flying,12,70
334,Altaria,188,0,0,0,0,2,0,2,490,Dragon,Flying,206,70
335,Zangoose,165,0,2,0,0,0,0,2,458,Normal,,403,70
336,Seviper,165,0,1,0,1,0,0,2,458,Poison,,525,70
337,Lunatone,150,0,0,0,2,0,0,2,440,Rock,Psychic,1680,70
338,Solrock,150,0,2,0,0,0,0,2,440,Rock,Psychic,1540,70
339,Barboach,92,1,0,0,0,0,0,1,288,Water,Ground,19,70
340,Whiscash,158,2,0,0,0,0,0,2,468,Water,Ground,236,70
341,Corphish,111,0,1,0,0,0,0,1,308,Water,,115,70
342,Crawdaunt,161,0,2,0,0,0,0,2,468,Water,Dark,328,70
343,Baltoy,58,0,0,0,0,1,0,1,300,Ground,Psychic,215,70
344,Claydol,189,0,0,0,0,2,0,2,500,Ground,Psychic,1080,70
345,Lileep,121,0,0,0,0,1,0,1,355,Rock,Grass,238,70
346,Cradily,201,0,0,0,0,2,0,2,495,Rock,Grass,604,70
347,Anorith,119,0,1,0,0,0,0,1,355,Rock,Bug,125,70
348,Armaldo,200,0,2,0,0,0,0,2,495,Rock,Bug,682,70
349,Feebas,61,0,0,0,0,0,1,1,200,Water,,74,70
350,Milotic,213,0,0,0,0,2,0,2,540,Water,,1620,70
351,Castform,145,1,0,0,0,0,0,1,420,Normal,,8,70
352,Kecleon,132,0,0,0,0,1,0,1,440,Normal,,220,70
353,Shuppet,97,0,1,0,0,0,0,1,295,Ghost,,23,35
354,Banette,179,0,2,0,0,0,0,2,455,Ghost,,125,35
355,Duskull,97,0,0,1,0,1,0,2,295,Ghost,,150,35
356,Dusclops,179,0,0,1,0,2,0,3,455,Ghost,,306,35
357,Tropius,169,2,0,0,0,0,0,2,460,Grass,Flying,1000,70
358,Chimecho,147,0,0,0,1,1,0,2,425,Psychic,,10,70
359,Absol,174,0,2,0,0,0,0,2,465,Dark,,470,35
360,Wynaut,44,1,0,0,0,0,0,1,260,Psychic,,140,70
361,Snorunt,74,1,0,0,0,0,0,1,300,Ice,,168,70
362,Glalie,187,2,0,0,0,0,0,2,480,Ice,,2565,70
363,Spheal,75,1,0,0,0,0,0,1,290,Ice,Water,395,70
364,Sealeo,128,2,0,0,0,0,0,2,410,Ice,Water,876,70
365,Walrein,192,3,0,0,0,0,0,3,530,Ice,Water,1506,70
366,Clamperl,142,0,0,1,0,0,0,1,345,Water,,525,70
367,Huntail,178,0,1,1,0,0,0,2,485,Water,,270,70
368,Gorebyss,178,0,0,0,2,0,0,2,485,Water,,226,70
369,Relicanth,198,1,0,1,0,0,0,2,485,Water,Rock,234,70
370,Luvdisc,110,0,0,0,0,0,1,1,330,Water,,87,70
371,Bagon,89,0,1,0,0,0,0,1,300,Dragon,,421,35
372,Shelgon,144,0,0,2,0,0,0,2,420,Dragon,,1105,35
373,Salamence,218,0,3,0,0,0,0,3,600,Dragon,Flying,1026,35
374,Beldum,103,0,0,1,0,0,0,1,300,Steel,Psychic,952,35
375,Metang,153,0,0,2,0,0,0,2,420,Steel,Psychic,2025,35
376,Metagross,210,0,0,3,0,0,0,3,600,Steel,Psychic,5500,35
377,Regirock,217,0,0,3,0,0,0,3,580,Rock,,2300,35
378,Regice,216,0,0,0,0,3,0,3,580,Ice,,1750,35
379,Registeel,215,0,0,2,0,1,0,3,580,Steel,,2050,35
380,Latias,211,0,0,0,0,3,0,3,600,Dragon,Psychic,400,90
381,Latios,211,0,0,0,3,0,0,3,600,Dragon,Psychic,600,90
382,Kyogre,218,0,0,0,3,0,0,3,670,Water,,3520,0
383,Groudon,218,0,3,0,0,0,0,3,670,Ground,,9500,0
